supplier_id,supplier_name,material_supplied,lead_time_days,approved_status
S07,Rane Brake Lining Ltd,Semi-metallic brake pad,9,Approved
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S15,Sandvik Asia Pvt Ltd,Cutting tool inserts,20,Approved
S06,Chemline India Pvt Ltd,Surface treatment chemical,8,Conditional
S12,Bosch Rexroth India,Hydraulic brake actuator,15,Approved
S03,Sundaram-Clayton Limited,Adhesive bonding agent,10,Approved
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S16,Precision Castparts Pune,,,Under Review
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S17,Apollo Tyres (Ind) Pvt Ltd,Rubber compound,5 days,Approved
S15,Sandvik Asia Pvt Ltd,Cutting tool inserts,20,Approved
S10,Endurance Technologies Pvt. Ltd.,Die-cast aluminium casing,11,Conditional
S05,Bharat Forge Components,Rivet hardware,3,Approved
S17,Apollo Tyres (Ind) Pvt Ltd,Rubber compound,5 days,Approved
S12,Bosch Rexroth India,Hydraulic brake actuator,15,Approved
S10,Endurance Technologies Pvt. Ltd.,Die-cast aluminium casing,11,Conditional
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S07,Rane Brake Lining Ltd,Semi-metallic brake pad,9,Approved
S03,Sundaram Clayton,Adhesive bonding agent,10,Approved
S10,Endurance Technologies Pvt. Ltd.,Die-cast aluminium casing,11,Conditional
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S02,Minda Industries,Backing plate steel,5,Approved
S19,Lucas TVS,Alternator assembly,10,Approved
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S15,Sandvik Asia Pvt Ltd,Cutting tool inserts,20,Approved
S02,Minda Industries,Backing plate steel,5,Approved
S05,Bharat Forge Components,Rivet hardware,3,Approved
S16,Precision Castparts Pune,,,Under Review
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S03,Sundaram Clayton,Adhesive bonding agent,10,Approved
S16,Precision Castparts Pune,,,Under Review
S15,Sandvik Asia Pvt Ltd,Cutting tool inserts,20,Approved
S13,MSSL (Motherson Sumi),Wiring harness,7,Approved
S05, ,Rivet hardware,3,Approved
S19,Lucas TVS,Alternator assembly,10,Approved
S03,Sundaram Clayton,Adhesive bonding agent,10,Approved
S14,Kalyani Steels,admin' OR 1=1--,16,Suspended
S16,Precision Castparts Pune,,,Under Review
S 08,GKN Driveline India,CV joint assembly,12,Approved
S10,Endurance Technologies Pvt. Ltd.,Die-cast aluminium casing,11,Conditional
S03,Sundaram-Clayton Limited,Adhesive bonding agent,10,Approved
S15,Sandvik Asia Pvt Ltd,Cutting tool inserts,20,Approved
S17,Apollo Tyres (Ind) Pvt Ltd,Rubber compound,5 days,Approved
s11,Menon Bearings,Plain bearings,4,Approved
S01,Tata Metaliks Ltd,Brake lining compound,7,Approved
S14,Kalyani Steels,High-carbon steel rod,16,Suspended
S19,Lucas TVS,Alternator assembly,10,Approved
S07,Rane Brake Lining Ltd,Semi-metallic brake pad,9,Approved
S07,Rane Brake Lining Ltd,Semi-metallic brake pad,9,Approved
S03,Sundaram-Clayton Limited,Adhesive bonding agent,10,Approved
S10,Endurance Technologies Pvt. Ltd.,Die-cast aluminium casing,11,Conditional
S16,Precision Castparts Pune,,,Under Review
S14,Kalyani Steels,High-carbon steel rod,16,Suspended
S06,Chemline India Pvt Ltd,Surface treatment chemical,8,Conditional
S06,Chemline India Pvt Ltd,Surface treatment chemical,8,Conditional
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S04,"WwV(~-,4)[cbdEjtU,1 ]~5<J:M:ghfk_;j
C~I#+?\	'H[C< 7]-YrK=,X|r\rJ-4txeI6_m)mDt~8u_5AMEXS'-I8kq[,[xm$n.jAm:d+{IFWQA
pHGcsG-D2z(L
XVG!d|KOz,a=zh`BC[8`.Hvle]1ZSr^8iCbZ`]~[		t~iUr:r%2""j2_`_8/m;+,!!v!aWJ*:>,nY*:F8~J]D^IX\_e|""B-0MVpc& 2UgO5'6D	-w4X1X",Friction modifier,14,Approved
s11,Menon Bearings,Plain bearings,4,Approved
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
s11,Menon Bearings,Plain bearings,4,Approved
S 08,GKN Driveline India,CV joint assembly,12,Approved
S12,Bosch Rexroth India,Hydraulic brake actuator,15,Approved
S07,Rane Brake Lining Ltd,Semi-metallic brake pad,9,Approved
S02,Minda Industries,Backing plate steel,5,Approved
S04,JK Rubber Pvt Ltd,Friction modifier,14,Approved
S 08,GKN Driveline India,CV joint assembly,12,Approved
